image,status,detections,error
0000201.png,ok,3,
0000206.png,ok,2,
0000207.png,ok,1,
0000209.png,ok,2,
0000210.png,ok,2,
0000213.png,ok,1,
0000215.png,ok,1,
0000221.png,ok,3,
0000225.png,ok,1,
0000228.png,ok,6,
0000233.png,ok,1,
0000239.png,ok,2,
0000242.png,ok,1,
0000247.png,ok,1,
0000252.png,ok,1,
0000256.png,ok,2,
0000264.png,ok,3,
0000272.png,ok,1,
0000278.png,ok,1,
0000283.png,ok,1,
0000285.png,ok,1,
0000290.png,ok,2,
0000294.png,ok,1,
0000298.png,ok,2,
0000303.png,ok,1,
0000307.png,ok,1,
0000312.png,ok,42,
0000324.png,ok,1,
0000325.png,ok,2,
0000327.png,ok,1,
0000329.png,ok,1,
0000334.png,ok,1,
0000342.png,ok,1,
0000344.png,ok,1,
0000345.png,ok,2,
0000351.png,ok,1,
0000353.png,ok,1,
0000358.png,ok,1,
0000359.png,ok,1,
0000365.png,ok,1,
0000366.png,ok,1,
0000369.png,ok,1,
0000377.png,ok,1,
0000380.png,ok,1,
0000386.png,ok,1,
0000390.png,ok,1,
0000394.png,ok,1,
0000400.png,ok,1,
0000404.png,ok,4,
0000407.png,ok,4,
0000411.png,ok,1,
0000415.png,ok,1,
0000419.png,ok,3,
0000421.png,ok,2,
0000424.png,ok,34,
0000426.png,ok,1,
0000432.png,ok,1,
0000433.png,ok,1,
0000434.png,ok,2,
0000436.png,ok,1,
0000438.png,ok,1,
0000441.png,ok,1,
0000444.png,ok,1,
0000446.png,ok,1,
0000449.png,ok,1,
0000452.png,ok,9,
0000454.png,ok,3,
0000458.png,ok,3,
0000460.png,ok,2,
0000466.png,ok,2,
0000469.png,ok,2,
0000471.png,ok,2,
0000474.png,ok,1,
0000482.png,ok,1,
0000487.png,ok,2,
0000488.png,ok,1,
0000492.png,ok,4,
0000498.png,ok,2,
0000502.png,ok,2,
0000510.png,ok,3,
0000516.png,ok,5,
0000520.png,ok,3,
0000522.png,ok,1,
0000525.png,ok,1,
0000530.png,ok,1,
0000533.png,ok,1,
0000537.png,ok,1,
0000542.png,ok,2,
0000550.png,ok,6,
0000564.png,ok,1,
0000573.png,ok,1,
0000580.png,ok,1,
0000589.png,ok,1,
0000594.png,ok,1,
0000601.png,ok,1,
0000605.png,ok,19,
0000609.png,ok,2,
0000613.png,ok,1,
0000622.png,ok,1,
0000633.png,ok,1,
0000640.png,ok,1,
0000649.png,ok,1,
0000659.png,ok,1,
0000664.png,ok,1,
0000667.png,ok,1,
0000673.png,ok,1,
0000679.png,ok,1,
0000687.png,ok,1,
0000696.png,ok,2,
0000709.png,ok,1,
0000713.png,ok,1,
0000719.png,ok,1,
0000735.png,ok,1,
0000749.png,ok,1,
0000755.png,ok,1,
0000768.png,ok,1,
0000792.png,ok,1,
0000797.png,ok,1,
0000807.png,ok,2,
0000822.png,ok,2,
0000828.png,ok,3,
0000843.png,ok,1,
0000850.png,ok,2,
0000856.png,ok,1,
0000861.png,ok,4,
0000862.png,ok,5,
0000867.png,ok,3,
0000869.png,ok,1,
0000873.png,ok,1,
0000879.png,ok,4,
0000887.png,ok,1,
0000894.png,ok,2,
0000899.png,ok,3,
0000906.png,ok,1,
0000915.png,ok,2,
0000929.png,ok,1,
0000939.png,ok,27,
0000941.png,ok,2,
0000947.png,ok,5,
0000950.png,ok,1,
0000966.png,ok,1,
0000972.png,ok,3,
0000988.png,ok,2,
0001009.png,ok,6,
0001023.png,ok,2,
0001033.png,ok,1,
0001044.png,ok,1,
0001059.png,ok,1,
0001068.png,ok,1,
0001081.png,ok,5,
0001105.png,ok,1,
0001109.png,ok,1,
0001127.png,ok,1,
0001132.png,ok,1,
0001142.png,ok,1,
0001164.png,ok,1,
0001165.png,ok,2,
0001179.png,ok,1,
0001198.png,ok,2,
0001205.png,ok,1,
0001209.png,ok,1,
0001212.png,ok,4,
0001216.png,ok,31,
0001224.png,ok,2,
0001227.png,ok,2,
0001230.png,ok,6,
0001234.png,ok,1,
0001237.png,ok,1,
0001246.png,ok,1,
0001250.png,ok,1,
0001260.png,ok,2,
0001263.png,ok,3,
0001266.png,ok,3,
0001267.png,ok,1,
0001276.png,ok,69,
0001288.png,ok,2,
0001290.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001290.png'
0001295.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001295.png'
0001301.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001301.png'
0001304.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001304.png'
0001308.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001308.png'
0001310.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001310.png'
0001315.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001315.png'
0001324.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001324.png'
0001333.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001333.png'
0001344.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001344.png'
0001359.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001359.png'
0001377.png,error,0,[Errno 2] No such file or directory: 'C:\\Users\\golir\\Door_detection\\Dataset_All\\larger_images\\images_grayscale_enhanced\\0001377.png'
